id,home_team,away_team,assist_provided_for,assist_provider_id,assist_provider_name,assist_provider_jersey_number,assist_minute,assist_provided_to_id,assist_provided_to_name,assist_provided_to_jersey_number
1,MUN,LEI,MUN,4407,Mata,8,83,4421,Shaw,23
2,NEW,TOT,TOT,4606,Sánchez,6,8,4605,Vertonghen,5
3,NEW,TOT,NEW,4511,Ritchie,11,11,4520,Joselu,21
4,NEW,TOT,TOT,4623,Aurier,24,18,4619,Alli,20
5,BOU,CAR,BOU,3313,Wilson,13,24,3321,Fraser,24
6,BOU,CAR,BOU,3302,Francis,2,90 +1,3313,Wilson,13
7,FUL,CRY,CRY,3703,van Aanholt,3,41,3714,Schlupp,15
8,FUL,CRY,CRY,3721,Wan-Bissaka,29,79,3711,Zaha,11
9,HUD,CHE,CHE,3819,Willian,22,34,3807,Kanté,7
10,HUD,CHE,CHE,3809,Hazard,10,80,3810,Pedro,11
11,WAT,BHA,WAT,4724,Holebas,25,35,4730,Pereyra,37
12,WAT,BHA,WAT,4724,Holebas,25,54,4730,Pereyra,37
13,WOL,EVE,EVE,3504,Keane,4,17,3527,Richarlison,30
14,WOL,EVE,EVE,3513,Tosun,14,67,3527,Richarlison,30
15,WOL,EVE,WOL,4905,Neves,8,80,4906,Jiménez,9
16,LIV,WHU,LIV,4224,Robertson,26,19,4211,Salah,11
17,LIV,WHU,LIV,4207,Milner,7,47,4210,Mané,10
18,LIV,WHU,LIV,4209,Firmino,9,53,4210,Mané,10
19,ARS,MCI,MCI,4316,Mendy,22,14,4306,Sterling,7
20,ARS,MCI,MCI,4316,Mendy,22,64,4314,B.Silva,20
21,EVE,SOU,EVE,3517,Schneiderlin,18,15,3510,Walcott,11
22,EVE,SOU,EVE,3510,Walcott,11,31,3527,Richarlison,30
23,EVE,SOU,SOU,3217,Lemina,18,54,3209,Ings,9
24,LEI,WOL,LEI,3912,Pereira,14,45,3909,Maddison,10
25,TOT,FUL,FUL,4102,Sessegnon,3,52,4108,Mitrović,9
26,TOT,FUL,TOT,4610,Lamela,11,77,4609,Kane,10
27,WHU,BOU,BOU,3303,Cook,3,60,3313,Wilson,13
28,WHU,BOU,BOU,3321,Fraser,24,66,3303,Cook,3
29,CHE,ARS,CHE,3803,Alonso,3,9,3810,Pedro,11
30,CHE,ARS,CHE,3822,Azpilicueta,28,20,3823,Morata,29
31,CHE,ARS,ARS,3006,Mkhitaryan,7,41,3017,Iwobi,17
32,CHE,ARS,CHE,3809,Hazard,10,81,3803,Alonso,3
33,BUR,WAT,WAT,4709,Deeney,9,3,4717,Gray,18
34,BUR,WAT,BUR,3407,Guðmundsson,7,6,3405,Tarkowski,5
35,BUR,WAT,WAT,4715,Doucouré,16,48,4709,Deeney,9
36,MCI,HUD,MCI,4321,Ederson,31,25,4308,Agüero,10
37,MCI,HUD,HUD,3119,Mounié,24,43,3122,Stanković,27
38,MCI,HUD,MCI,4316,Mendy,22,75,4308,Agüero,10
39,BHA,MUN,BHA,3617,March,20,25,3615,Murray,17
40,BHA,MUN,BHA,3611,Knockaert,11,27,3604,Duffy,4
41,CRY,LIV,LIV,4211,Salah,11,90 +3,4210,Mané,10
42,WOL,MCI,WOL,4917,Moutinho,28,57,4910,Boly,15
43,WOL,MCI,MCI,4307,Gündoğan,8,69,4309,Laporte,14
44,ARS,WHU,WHU,4807,Anderson,8,25,4806,Arnautović,7
45,ARS,WHU,ARS,3017,Iwobi,17,30,3016,Monreal,18
46,ARS,WHU,ARS,3002,Bellerin,2,90 +2,3019,Welbeck,23
47,BOU,EVE,EVE,3513,Tosun,14,56,3510,Walcott,11
48,BOU,EVE,EVE,3509,Sigurðsson,10,66,3504,Keane,4
49,SOU,LEI,LEI,3910,Albrighton,11,90 +2,3913,Maguire,15
50,LIV,BHA,LIV,4209,Firmino,9,23,4211,Salah,11
51,WAT,CRY,WAT,4727,Capoue,29,53,4730,Pereyra,37
52,WAT,CRY,WAT,4702,Janmaat,2,71,4724,Holebas,25
53,WAT,CRY,CRY,3707,Meyer,7,78,3711,Zaha,11
54,FUL,BUR,FUL,4114,Vietto,19,4,4119,Seri,24
55,FUL,BUR,FUL,4109,Cairney,10,36,4108,Mitrović,9
56,FUL,BUR,FUL,4114,Vietto,19,38,4108,Mitrović,9
57,FUL,BUR,BUR,3406,Mee,6,41,3405,Tarkowski,5
58,NEW,CHE,NEW,4521,Yedlin,22,83,4520,Joselu,21
59,MUN,TOT,TOT,4602,Trippier,2,50,4609,Kane,10
60,MUN,TOT,TOT,4622,Eriksen,23,52,4625,Moura,27
61,MUN,TOT,TOT,4609,Kane,10,84,4625,Moura,27
62,LEI,LIV,LIV,4224,Robertson,26,10,4210,Mané,10
63,LEI,LIV,LIV,4207,Milner,7,45,4209,Firmino,9
64,LEI,LIV,LEI,3909,Maddison,10,63,3927,Ghezzal,31
65,BHA,FUL,FUL,4119,Seri,24,43,4112,Schürrle,14
66,BHA,FUL,BHA,3611,Knockaert,11,67,3615,Murray,17
67,CHE,BOU,CHE,3815,Giroud,18,72,3810,Pedro,11
68,CHE,BOU,CHE,3803,Alonso,3,85,3809,Hazard,10
69,CRY,SOU,SOU,3202,Cédric,2,47,3209,Ings,9
70,CRY,SOU,SOU,3225,Targett,33,90 +2,3222,Højbjerg,23
71,EVE,HUD,EVE,3511,Digne,12,36,3526,Calvert-Lewin,29
72,WHU,WOL,WOL,4922,Bonatini,33,90 +3,4923,Traoré,37
73,MCI,NEW,MCI,4316,Mendy,22,8,4306,Sterling,7
74,MCI,NEW,NEW,4509,Rondón,9,30,4521,Yedlin,22
75,MCI,NEW,MCI,4308,Agüero,10,52,4302,Walker,2
76,CAR,ARS,ARS,3025,Xhaka,34,11,3018,Mustafi,20
77,CAR,ARS,CAR,4003,Bennett,3,45 +2,4020,Camarasa,21
78,CAR,ARS,ARS,3008,Lacazette,9,62,3012,Aubameyang,14
79,CAR,ARS,CAR,4004,Morrison,4,70,4009,Ward,9
80,CAR,ARS,ARS,3010,Torreira,11,81,3008,Lacazette,9
81,BUR,MUN,MUN,4406,Sánchez,7,27,4408,Lukaku,9
82,WAT,TOT,WAT,4724,Holebas,25,69,4709,Deeney,9
83,WAT,TOT,WAT,4724,Holebas,25,76,4714,Cathcart,15
