id,name,short_name,club_code,stadium,capacity,manager,manager_nationality,position,games_played,home_games_played,away_games_played,wins,home_wins,away_wins,draws,home_draws,away_draws,losses,home_losses,away_losses,goals_scored,home_goals_scored,away_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,goals_difference,points,home_points,away_points,next_fixture,previous_fixtures,results,form
1,Arsenal,Arsenal,ARS,Emirates Stadium,59867,Unai Emery,Spain,9,4,2,2,2,1,1,0,0,0,2,1,1,8,3,5,8,3,5,0,6,3,3,NEW-(A),"['MCI-(H)', 'CHE-(A)', 'WHU-(H)', 'CAR-(A)']","['0-2', '3-2', '3-1', '2-3']","['L', 'L', 'W', 'W']"
2,Bournemouth,Bournemouth,BOU,Vitality Stadium,11360,Eddie Howe,England,6,4,2,2,2,1,1,1,1,0,1,0,1,6,4,2,5,2,3,1,7,4,3,LEI-(H),"['CAR-(H)', 'WHU-(A)', 'EVE-(H)', 'CHE-(A)']","['2-0', '1-2', '2-2', '2-0']","['W', 'W', 'D', 'L']"
3,Brighton and Hove Albion,Brighton,BHA,Amex Stadium,30750,Chris Hughton,Ireland,14,4,2,2,1,1,0,1,1,0,2,0,2,5,5,0,7,4,3,-2,4,4,0,SOU-(A),"['WAT-(A)', 'MUN-(H)', 'LIV-(A)', 'FUL-(H)']","['2-0', '3-2', '1-0', '2-2']","['L', 'W', 'L', 'D']"
4,Burnley,Burnley,BUR,Turf Moor,21944,Sean Dyche,England,19,4,2,2,0,0,0,1,0,1,3,2,1,3,1,2,9,5,4,-6,1,0,1,WOL-(A),"['SOU-(A)', 'WAT-(H)', 'FUL-(A)', 'MUN-(H)']","['0-0', '1-3', '4-2', '0-2']","['D', 'L', 'L', 'L']"
5,Cardiff City,Cardiff,CAR,Cardiff City Stadium,33316,Neil Warnock,England,16,4,12,2,0,0,0,2,1,1,2,1,1,2,2,0,5,3,2,-3,2,1,1,CHE-(A),"['BOU-(A)', 'NEW-(H)', 'HUD-(A)', 'ARS-(H)']","['2-0', '0-0', '0-0', '2-3']","['L', 'D', 'D', 'L']"
6,Chelsea,Chelsea,CHE,Stamford Bridge,41631,Maurizio Sarri,Italy,2,4,2,2,4,2,2,0,0,0,0,0,0,10,5,5,3,2,1,7,12,6,6,CAR-(H),"['HUD-(A)', 'ARS-(H)', 'NEW-(A)', 'BOU-(H)']","['0-3', '3-2', '1-2', '2-0']","['W', 'W', 'W', 'W']"
7,Crystal Palace,C Palace,CRY,Selhurst Park,25456,Roy Hodgson,England,15,4,2,2,1,0,1,0,0,0,3,2,1,3,0,3,6,4,2,-3,3,0,3,HUD-(A),"['FUL-(A)', 'LIV-(H)', 'WAT-(A)', 'SOU-(H)']","['0-2', '0-2', '2-1', '0-2']","['W', 'L', 'L', 'L']"
8,Everton,Everton,EVE,Goodison Park,39572,Marco Silva,Portugal,7,4,2,2,1,1,0,3,1,2,0,0,0,7,3,4,6,2,4,1,6,4,2,WHU-(H),"['WOL-(A)', 'SOU-(H)', 'BOU-(A)', 'HUD-(H)']","['2-2', '2-1', '2-2', '1-1']","['D', 'W', 'D', 'D']"
9,Fulham,Fulham,FUL,Craven Cottage,25700,Slaviša Jokanović,Serbia,13,4,2,2,1,1,0,1,0,1,2,1,1,7,4,3,9,4,5,-2,4,3,1,MCI-(A),"['CRY-(H)', 'TOT-(A)', 'BUR-(H)', 'BHA-(A)']","['0-2', '3-1', '4-2', '2-2']","['L', 'L', 'W', 'D']"
10,Huddersfield Town,Huddersfield,HUD,John Smith's Stadium,24121,David Wagner,Germany,17,4,2,2,0,0,0,2,1,1,2,1,1,2,0,2,10,3,7,-8,2,1,1,CRY-(H),"['CHE-(H)', 'MCI-(A)', 'CAR-(H)', 'EVE-(A)']","['0-3', '6-1', '0-0', '1-1']","['L', 'L', 'D', 'D']"
11,Leicester City,Leicester,LEI,King Power Stadium,32273,Claude Puel,France,8,4,2,2,2,1,1,0,0,0,2,1,1,6,3,3,5,2,3,1,6,3,3,BOU-(A),"['MUN-(A)', 'WOL-(H)', 'SOU-(A)', 'LIV-(H)']","['2-1', '2-0', '1-2', '1-2']","['L', 'W', 'W', 'L']"
12,Liverpool,Liverpool,LIV,Anfield,53394,Jürgen Klopp,Germany,1,4,2,2,4,2,2,0,0,0,0,0,0,9,5,4,1,0,1,8,12,6,6,TOT-(A),"['WHU-(H)', 'CRY-(A)', 'BHA-(H)', 'LEI-(A)']","['4-0', '0-2', '1-0', '1-2']","['W', 'W', 'W', 'W']"
13,Manchester City,Man City,MCI,Etihad Stadium,55017,Josep Guardiola,Spain,4,4,2,2,3,2,1,1,0,1,0,0,0,11,8,3,3,2,1,8,10,6,4,FUL-(H),"['ARS-(A)', 'HUD-(H)', 'WOL-(A)', 'NEW-(H)']","['0-2', '6-1', '1-1', '2-1']","['W', 'W', 'D', 'W']"
14,Manchester United,Man Utd,MUN,Old Trafford,74994,José Mourinho,Portugal,10,4,2,2,2,1,1,0,0,0,2,1,1,6,2,4,7,4,3,-1,6,3,3,WAT-(A),"['LEI-(H)', 'BHA-(A)', 'TOT-(H)', 'BUR-(A)']","['2-1', '3-2', '0-3', '0-2']","['W', 'L', 'L', 'W']"
15,Newcastle United,Newcastle,NEW,St. James' Park,52040,Rafa Benítez,Spain,18,4,2,2,0,0,0,1,0,1,3,2,1,3,2,1,6,4,2,-3,1,0,1,ARS-(H),"['TOT-(H)', 'CAR-(A)', 'CHE-(H)', 'MCI-(A)']","['1-2', '0-0', '1-2', '2-1']","['L', 'D', 'L', 'L']"
16,Southampton,Southampton,SOU,St. Mary's Stadium,32384,Mark Hughes,Wales,12,4,2,2,1,0,1,1,1,0,2,1,1,4,1,3,4,2,2,0,4,1,3,BHA-(H),"['BUR-(H)', 'EVE-(A)', 'LEI-(H)', 'CRY-(A)']","['0-0', '2-1', '1-2', '2-2']","['D', 'L', 'L', 'W']"
17,Tottenham Hotspur,Spurs,TOT,Wembley Stadium,90000,Mauricio Pochettino,Argentina,5,4,1,3,3,1,2,0,0,0,1,0,1,9,3,6,4,1,3,5,9,3,6,LIV-(H),"['NEW-(A)', 'FUL-(H)', 'MUN-(A)', 'WAT-(A)']","['1-2', '3-1', '0-3', '2-1']","['W', 'W', 'W', 'L']"
18,Watford,Watford,WAT,Vicarage Road,21000,Javi Gracia,Spain,3,4,3,1,4,3,1,0,0,0,0,0,0,9,6,3,3,2,1,6,12,9,3,MUN-(H),"['BHA-(H)', 'BUR-(A)', 'CRY-(H)', 'TOT-(H)']","['2-0', '1-3', '2-1', '2-1']","['W', 'W', 'W', 'W']"
19,West Ham United,West Ham,WHU,London Stadium,60000,Manuel Pellegrini,Chile,20,4,2,2,0,0,0,0,0,0,4,2,2,2,1,1,10,3,7,-8,0,0,0,EVE-(A),"['LIV-(A)', 'BOU-(H)', 'ARS-(A)', 'WOL-(H)']","['4-0', '1-2', '3-1', '0-1']","['L', 'L', 'L', 'L']"
20,Wolverhampton Wanderers,Wolves,WOL,Molineux Stadium,31700,Nuno,Portugal,11,4,2,2,1,0,1,2,2,0,1,0,1,4,3,1,5,3,2,-1,5,2,3,BUR-(H),"['EVE-(H)', 'LEI-(A)', 'MCI-(H)', 'WHU-(A)']","['2-2', '2-0', '1-1', '0-1']","['D', 'L', 'D', 'W']"
