id,home_team,away_team,goal_scorer_id,goal_scored_for,goal_scorer_name,goal_scorer_jersey_number,scoring_minute,assist_given,is_penalty,assist_provider_id,assist_provider_name,assist_provider_jersey_number
2,MUN,LEI,4421,MUN,Shaw,23,83,True,False,4407,Mata,8
4,NEW,TOT,4605,TOT,Vertonghen,5,8,True,False,4606,Sánchez,6
5,NEW,TOT,4520,NEW,Joselu,21,11,True,False,4511,Ritchie,11
6,NEW,TOT,4619,TOT,Alli,20,18,True,False,4623,Aurier,24
7,BOU,CAR,3321,BOU,Fraser,24,24,True,False,3313,Wilson,13
8,BOU,CAR,3313,BOU,Wilson,13,90 +1,True,False,3302,Francis,2
9,FUL,CRY,3714,CRY,Schlupp,15,41,True,False,3703,van Aanholt,3
10,FUL,CRY,3711,CRY,Zaha,11,79,True,False,3721,Wan-Bissaka,29
11,HUD,CHE,3807,CHE,Kanté,7,34,True,False,3819,Willian,22
13,HUD,CHE,3810,CHE,Pedro,11,80,True,False,3809,Hazard,10
14,WAT,BHA,4730,WAT,Pereyra,37,35,True,False,4724,Holebas,25
15,WAT,BHA,4730,WAT,Pereyra,37,54,True,False,4724,Holebas,25
16,WOL,EVE,3527,EVE,Richarlison,30,17,True,False,3504,Keane,4
18,WOL,EVE,3527,EVE,Richarlison,30,67,True,False,3513,Tosun,14
19,WOL,EVE,4906,WOL,Jiménez,9,80,True,False,4905,Neves,8
20,LIV,WHU,4211,LIV,Salah,11,19,True,False,4224,Robertson,26
21,LIV,WHU,4210,LIV,Mané,10,47,True,False,4207,Milner,7
22,LIV,WHU,4210,LIV,Mané,10,53,True,False,4209,Firmino,9
24,ARS,MCI,4306,MCI,Sterling,7,14,True,False,4316,Mendy,22
25,ARS,MCI,4314,MCI,B.Silva,20,64,True,False,4316,Mendy,22
26,EVE,SOU,3510,EVE,Walcott,11,15,True,False,3517,Schneiderlin,18
27,EVE,SOU,3527,EVE,Richarlison,30,31,True,False,3510,Walcott,11
28,EVE,SOU,3209,SOU,Ings,9,54,True,False,3217,Lemina,18
29,LEI,WOL,3909,LEI,Maddison,10,45,True,False,3912,Pereira,14
31,TOT,FUL,4108,FUL,Mitrović,9,52,True,False,4102,Sessegnon,3
33,TOT,FUL,4609,TOT,Kane,10,77,True,False,4610,Lamela,11
35,WHU,BOU,3313,BOU,Wilson,13,60,True,False,3303,Cook,3
36,WHU,BOU,3303,BOU,Cook,3,66,True,False,3321,Fraser,24
37,CHE,ARS,3810,CHE,Pedro,11,9,True,False,3803,Alonso,3
38,CHE,ARS,3823,CHE,Morata,29,20,True,False,3822,Azpilicueta,28
40,CHE,ARS,3017,ARS,Iwobi,17,41,True,False,3006,Mkhitaryan,7
41,CHE,ARS,3803,CHE,Alonso,3,81,True,False,3809,Hazard,10
42,BUR,WAT,4717,WAT,Gray,18,3,True,False,4709,Deeney,9
43,BUR,WAT,3405,BUR,Tarkowski,5,6,True,False,3407,Guðmundsson,7
44,BUR,WAT,4709,WAT,Deeney,9,48,True,False,4715,Doucouré,16
