id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3001,ARS,Arsenal,Chelsea,Petr,,Čech,Čech,1,Czech Republic,Goalkeeper,4.0,0.0,0.0,0.0,0.0
3002,ARS,Arsenal,Barcelona,Héctor,,Bellerin,Bellerin,2,Spain,Defender,4.0,0.0,0.0,0.0,1.0
3003,ARS,Arsenal,Basel,Mohamed,,Elneny,Elneny,4,Egypt,Midfielder,,,,,
3004,ARS,Arsenal,Borussia Dortmund,Sokratis,,Papastathopoulos,Sokratis,5,Greece,Defender,4.0,0.0,0.0,0.0,0.0
3005,ARS,Arsenal,Lorient,Laurent,,Koscielny,Koscielny,6,France,Defender,,,,,
3006,ARS,Arsenal,Manchester United,Henrikh,,Mkhitaryan,Mkhitaryan,7,Armenia,Midfielder,4.0,1.0,1.0,0.0,1.0
3007,ARS,Arsenal,Cardiff City,Aaron,,Ramsey,Ramsey,8,Wales,Midfielder,4.0,1.0,0.0,0.0,0.0
3008,ARS,Arsenal,Lyon,Alexandre,,Lacazette,Lacazette,9,France,Forward,4.0,3.0,1.0,0.0,1.0
3009,ARS,Arsenal,Real Madrid,Mesut,,Özil,Özil,10,Germany,Midfielder,3.0,0.0,0.0,0.0,0.0
3010,ARS,Arsenal,Sampdoria,Lucas,,Torreira,Torreira,11,Uruguay,Midfielder,4.0,4.0,0.0,0.0,1.0
3011,ARS,Arsenal,Juventus,Stephan,,Lichtsteiner,Lichtsteiner,12,Switzerland,Defender,1.0,1.0,0.0,0.0,0.0
3012,ARS,Arsenal,Borusia Dortmund,Pierre-Emerick,,Aubameyang,Aubameyang,14,Gabon,Forward,4.0,0.0,1.0,0.0,0.0
3013,ARS,Arsenal,,Ainsley,,Maitland-Niles,Maitland-Niles,15,England,Midfielder,1.0,0.0,0.0,0.0,0.0
3014,ARS,Arsenal,Bolton Wanderers,Rob,,Holding,Holding,16,England,Defender,,,,,
3015,ARS,Arsenal,,Alex,,Iwobi,Iwobi,17,Nigeria,Midfielder,2.0,0.0,1.0,0.0,1.0
3016,ARS,Arsenal,Málaga,Nacho,,Monreal,Monreal,18,Spain,Defender,3.0,0.0,1.0,0.0,0.0
3017,ARS,Arsenal,Bayer Leverkusen,Bernd,,Leno,Leno,19,Germany,Goalkeeper,,,,,
3018,ARS,Arsenal,Valencia,Shkodran,,Mustafi,Mustafi,20,Germany,Defender,4.0,0.0,1.0,0.0,0.0
3019,ARS,Arsenal,Manchester United,Danny,,Welbeck,Welbeck,23,England,Forward,2.0,2.0,1.0,0.0,0.0
3020,ARS,Arsenal,Charlton Athletic,Carl,,Jenkinson,Jenkinson,25,England,Defender,,,,,
3021,ARS,Arsenal,Independiente,Emiliano,,Martinez,Martinez,26,Argentina,Goalkeeper,,,,,
3022,ARS,Arsenal,PAS Giannina,Konstantinos,,Mavropanos,Mavropanos,27,Greece,Defender,,,,,
3023,ARS,Arsenal,Lorient,Mattéo,,Guendouzi,Guendouzi,29,France,Midfielder,4.0,0.0,0.0,0.0,0.0
3024,ARS,Arsenal,Schalke,Sead,,Kolašinac,Kolašinac,31,Bosnia and Herzegovina,Defender,,,,,
3025,ARS,Arsenal,Borussia Mönchengladbach,Granit,,Xhaka,Xhaka,34,Switzerland,Midfielder,4.0,0.0,0.0,0.0,1.0
3101,HUD,Huddersfield Town,Mainz,Jonas,,Lössl,Lössl,1,Denmark,Goalkeeper,2.0,1.0,0.0,0.0,0.0
3102,HUD,Huddersfield Town,Manchester City,Tommy,,Smith,Smith,2,England,Defender,1.0,0.0,0.0,0.0,0.0
3103,HUD,Huddersfield Town,Monaco,Terence,,Kongolo,Kongolo,5,Netherlands,Defender,4.0,0.0,0.0,1.0,0.0
3104,HUD,Huddersfield Town,Watford,Jonathan,,Hogg,Hogg,6,England,Midfielder,2.0,0.0,0.0,0.0,0.0
3105,HUD,Huddersfield Town,FC Groningen,Juninho,,Bacuna,Bacuna,7,Netherlands,Midfielder,,,,,
3106,HUD,Huddersfield Town,Esbjerg,Philip,,Billing,Billing,8,Denmark,Midfielder,4.0,0.0,1.0,0.0,0.0
3107,HUD,Huddersfield Town,Ingolstadt,Elias,,Kachunga,Kachunga,9,Germany,Forward,1.0,1.0,0.0,0.0,0.0
3108,HUD,Huddersfield Town,Manchester City,Aaron,,Mooy,Mooy,10,Australia,Midfielder,3.0,0.0,0.0,0.0,0.0
3109,HUD,Huddersfield Town,Monaco,Adama,,Diakhaby,Diakhaby,11,France,Forward,4.0,2.0,0.0,0.0,0.0
3110,HUD,Huddersfield Town,Leicester City,Ben,,Hamer,Hamer,12,England,Goalkeeper,3.0,0.0,0.0,0.0,0.0
3111,HUD,Huddersfield Town,Stoke City,Ramadan,,Sobhi,Sobhi,14,Egypt,Midfielder,1.0,1.0,0.0,0.0,0.0
3112,HUD,Huddersfield Town,Kaiserslautern,Chris,,Löwe,Löwe,15,Germany,Defender,3.0,0.0,0.0,0.0,0.0
3113,HUD,Huddersfield Town,Wolverhampton Wanderers,Rajiv,,van La Parra,van La Parra,17,Netherlands,Midfielder,2.0,0.0,0.0,0.0,0.0
3114,HUD,Huddersfield Town,Montpellier,Isaac,,Mbenza,Mbenza,18,Belgium,Midfielder,1.0,1.0,0.0,0.0,0.0
3115,HUD,Huddersfield Town,Reading,Daniel,,Williams,Williams,19,United States,Midfielder,,,,,
3116,HUD,Huddersfield Town,FC Porto,Laurent,,Depoitre,Depoitre,20,Belgium,Forward,4.0,4.0,0.0,0.0,0.0
3117,HUD,Huddersfield Town,Norwich City,Alex,,Pritchard,Pritchard,21,England,Forward,2.0,0.0,0.0,0.0,0.0
3118,HUD,Huddersfield Town,Union Berlin,Collin,,Quaner,Quaner,23,Germany,Forward,,,,,
3119,HUD,Huddersfield Town,Montpellier,Steve,,Mounié,Mounié,24,Benin,Forward,4.0,0.0,0.0,0.0,1.0
3120,HUD,Huddersfield Town,FC København,Mathias,Zanka,Jørgensen,Jørgensen,25,Denmark,Defender,3.0,0.0,0.0,0.0,0.0
3121,HUD,Huddersfield Town,1860 Munich,Christopher,,Schindler,Schindler,26,Germany,Defender,4.0,0.0,0.0,0.0,0.0
3122,HUD,Huddersfield Town,Borussia Dortmund,Jon,Gorenc,Stanković,Stanković,27,Slovenia,Defender,1.0,0.0,1.0,0.0,0.0
3123,HUD,Huddersfield Town,Nürnberg,Abdelhamid,,Sabiri,Sabiri,29,Morocco,Midfielder,1.0,0.0,0.0,0.0,0.0
3124,HUD,Huddersfield Town,,Ryan,,Schofield,Schofield,31,England,Goalkeeper,,,,,
3125,HUD,Huddersfield Town,Ingolstadt,Florent,,Hadergjonaj,Hadergjonaj,33,Switzerland,Defender,4.0,0.0,0.0,0.0,0.0
3126,HUD,Huddersfield Town,Borussia Dortmund,Eric,,Durm,Durm,37,Germany,Defender,1.0,1.0,0.0,0.0,0.0
